gkz	name	wahlberechtigte	abgegeben	gueltig	spoe	oevp	fpoe	bzoe	gruene	frank	neos	kpoe	pirat	cpoe	wandl	m	euaus	slp	winner
G30828	Hohenruppersdorf	753	623	607	108	276	113	11	44	38	13	1	3	0	0	0	0	0	oevp
G30829	Jedenspeigen	911	722	716	247	266	102	10	38	34	15	1	3	0	0	0	0	0	oevp
G30830	Lassee	1983	1441	1418	389	375	395	40	71	88	34	13	13	0	0	0	0	0	fpoe
G30831	Leopoldsdorf im Marchfelde	1983	1412	1392	550	271	310	39	95	62	47	4	14	0	0	0	0	0	spoe
G30834	Mannsdorf an der Donau	286	223	220	42	90	38	13	12	10	11	2	2	0	0	0	0	0	oevp
G30835	Marchegg	2182	1562	1536	634	281	360	43	78	83	34	11	12	0	0	0	0	0	spoe
G30836	Markgrafneusiedl	665	513	501	185	99	118	6	29	29	28	1	6	0	0	0	0	0	spoe
G30838	Matzen-Raggendorf	2072	1596	1566	489	439	349	39	97	76	54	10	13	0	0	0	0	0	spoe
G30841	Neusiedl an der Zaya	1017	782	759	202	289	172	18	27	24	16	6	5	0	0	0	0	0	oevp
G30842	Obersiebenbrunn	1297	930	917	329	191	248	20	47	53	21	4	4	0	0	0	0	0	spoe
G30844	Orth an der Donau	1614	1084	1069	284	294	287	30	73	44	39	8	10	0	0	0	0	0	oevp
G30845	Palterndorf-Dobermannsdorf	1025	740	728	186	298	159	16	20	34	9	4	2	0	0	0	0	0	oevp
G30846	Parbasdorf	121	104	102	9	62	10	1	12	3	4	0	1	0	0	0	0	0	oevp
G30848	Prottes	1089	787	768	260	222	172	19	36	32	21	2	4	0	0	0	0	0	spoe
G30849	Raasdorf	427	308	307	94	121	51	3	12	10	9	4	3	0	0	0	0	0	oevp
G30850	Ringelsdorf-Niederabsdorf	1102	805	789	351	201	140	14	25	36	14	3	5	0	0	0	0	0	spoe
G30852	Schönkirchen-Reyersdorf	1539	1151	1130	364	270	264	28	66	63	60	6	9	0	0	0	0	0	spoe
G30854	Spannberg	750	602	585	121	234	145	13	33	21	13	2	3	0	0	0	0	0	oevp
G30856	Strasshof an der Nordbahn	6698	4495	4421	1779	525	1173	109	328	243	178	52	34	0	0	0	0	0	spoe
G30857	Sulz im Weinviertel	978	759	731	160	333	132	14	28	36	17	8	3	0	0	0	0	0	oevp
G30858	Untersiebenbrunn	1204	910	897	372	139	239	16	33	54	33	6	5	0	0	0	0	0	spoe
G30859	Velm-Götzendorf	636	493	481	125	171	95	13	34	26	11	4	2	0	0	0	0	0	oevp
G30860	Weikendorf	1489	1100	1080	315	312	254	32	94	30	35	5	3	0	0	0	0	0	spoe
G30863	Zistersdorf	4486	3277	3211	769	1289	689	54	170	135	67	23	15	0	0	0	0	0	oevp
G30865	Weiden an der March	743	556	550	102	297	80	3	25	21	13	1	8	0	0	0	0	0	oevp
G30902	Amaliendorf-Aalfang	940	676	655	302	106	136	8	33	32	23	6	9	0	0	0	0	0	spoe
G30903	Brand-Nagelberg	1420	1041	1002	543	167	144	12	52	54	19	6	5	0	0	0	0	0	spoe
G30904	Eggern	590	440	432	122	180	65	5	26	17	9	4	4	0	0	0	0	0	oevp
G30906	Eisgarn	570	449	444	142	196	63	8	16	15	2	1	1	0	0	0	0	0	oevp
G30908	Gmünd	4459	3084	3022	1211	816	509	70	164	123	95	17	17	0	0	0	0	0	spoe
G30909	Großdietmanns	1911	1426	1376	393	543	238	21	70	69	24	8	10	0	0	0	0	0	oevp
G30910	Bad Großpertholz	1171	865	849	259	323	119	11	42	53	23	8	11	0	0	0	0	0	oevp
G30912	Großschönau	1016	775	751	103	375	122	20	54	51	11	6	9	0	0	0	0	0	oevp
G30913	Moorbad Harbach	546	422	412	100	161	75	15	27	19	9	5	1	0	0	0	0	0	oevp
G30915	Haugschlag	403	307	291	86	115	53	3	11	20	2	1	0	0	0	0	0	0	oevp
G30916	Heidenreichstein	3493	2457	2382	844	770	407	43	142	105	34	25	12	0	0	0	0	0	spoe
G30917	Hirschbach	476	382	375	136	136	60	6	20	12	3	1	1	0	0	0	0	0	tie
G30920	Hoheneich	1214	876	855	289	304	105	26	65	38	18	6	4	0	0	0	0	0	oevp
G30921	Kirchberg am Walde	1141	868	845	188	392	156	18	24	49	11	5	2	0	0	0	0	0	oevp
G30925	Litschau	2026	1403	1365	422	502	229	28	70	61	39	7	7	0	0	0	0	0	oevp
G30929	Reingers	565	400	390	71	195	56	4	18	40	6	0	0	0	0	0	0	0	oevp
G30932	St. Martin	965	710	682	167	288	118	12	43	31	16	5	2	0	0	0	0	0	oevp
G30935	Schrems	4635	3221	3135	1293	875	504	89	162	131	57	15	9	0	0	0	0	0	spoe
G30939	Unserfrau-Altweitra	829	646	624	114	327	91	12	40	15	14	8	3	0	0	0	0	0	oevp
G30940	Waldenstein	983	744	713	116	406	100	11	30	28	16	4	2	0	0	0	0	0	oevp
G30942	Weitra	2324	1641	1586	386	701	220	41	98	62	61	11	6	0	0	0	0	0	oevp
G31001	Alberndorf im Pulkautal	622	457	446	125	155	82	9	20	35	12	4	4	0	0	0	0	0	oevp
G31008	Göllersdorf	2303	1724	1683	381	687	284	33	137	75	71	6	9	0	0	0	0	0	oevp
G31009	Grabern	1142	933	894	182	464	111	12	51	47	17	4	6	0	0	0	0	0	oevp
G31014	Guntersdorf	927	710	690	152	314	131	20	24	31	13	3	2	0	0	0	0	0	oevp
G31015	Hadres	1429	1135	1109	282	498	167	19	41	53	35	4	10	0	0	0	0	0	oevp
G31016	Hardegg	1146	910	876	188	430	141	19	34	38	14	9	3	0	0	0	0	0	oevp
G31018	Haugsdorf	1345	1034	1010	319	371	186	16	46	46	20	4	2	0	0	0	0	0	oevp
G31019	Heldenberg	1020	798	771	146	369	120	15	45	33	30	8	5	0	0	0	0	0	oevp
G31021	Hohenwarth-Mühlbach a.M.	1041	801	782	167	379	140	11	41	22	16	1	5	0	0	0	0	0	oevp
G31022	Hollabrunn	9150	6709	6569	1493	2415	1256	152	574	313	277	42	47	0	0	0	0	0	oevp
G31025	Mailberg	490	380	371	126	141	59	4	20	7	10	4	0	0	0	0	0	0	oevp
G31026	Maissau	1626	1185	1155	313	494	166	15	51	63	39	3	11	0	0	0	0	0	oevp
G31028	Nappersdorf-Kammersdorf	1036	785	770	170	349	132	16	31	39	20	2	11	0	0	0	0	0	oevp
G31033	Pernersdorf	804	644	627	209	253	97	13	19	21	10	1	4	0	0	0	0	0	oevp
G31035	Pulkau	1312	967	949	240	482	113	22	36	25	21	3	7	0	0	0	0	0	oevp
G31036	Ravelsbach	1361	991	970	238	409	162	19	54	39	40	3	6	0	0	0	0	0	oevp
G31037	Retz	3528	2397	2334	567	1032	271	62	186	116	77	14	9	0	0	0	0	0	oevp
